timestamp_ms,ref_v,u_v,sensor_v_avg,error,p_term,i_term,d_term,sat
4008000,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4008500,1.7000,0.8434,0.8566,0.84337,0.84337,0.00000,0.00000,0
4009000,1.7000,0.8434,0.8566,0.84337,0.84337,0.00000,0.00000,0
4009500,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4010000,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4010500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4011000,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4011500,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4012000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4012500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4013000,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4013500,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4014000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4014500,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4015000,1.7000,0.8377,0.8623,0.83773,0.83773,0.00000,0.00000,0
4015500,1.7000,0.8377,0.8623,0.83773,0.83773,0.00000,0.00000,0
4016000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4016500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4017000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4017500,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4018000,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4018500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4019000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4019500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4020000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4020500,1.7000,0.8377,0.8623,0.83773,0.83773,0.00000,0.00000,0
4021000,1.7000,0.8361,0.8639,0.83612,0.83612,0.00000,0.00000,0
4021500,1.7000,0.8353,0.8647,0.83531,0.83531,0.00000,0.00000,0
4022000,1.7000,0.8361,0.8639,0.83612,0.83612,0.00000,0.00000,0
4022500,1.7000,0.8361,0.8639,0.83612,0.83612,0.00000,0.00000,0
4023000,1.7000,0.8361,0.8639,0.83612,0.83612,0.00000,0.00000,0
